iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_penalty,param_loss,param_l1_ratio,param_epsilon,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,20,0.1819995403289795,0.018804852094566372,0.000600433349609375,0.0004902531065594198,l1,log,0.2,0.01,0.0004,"{'penalty': 'l1', 'loss': 'log', 'l1_ratio': 0.2, 'epsilon': 0.01, 'alpha': 0.0004}",0.25,0.75,0.75,0.75,0.25,0.55,0.2449489742783178,671,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.16539878845214845,0.02454909339431666,0.0004004001617431641,0.0004903901368638533,l1,modified_huber,0.94,0.11,0.0001,"{'penalty': 'l1', 'loss': 'modified_huber', 'l1_ratio': 0.94, 'epsilon': 0.11, 'alpha': 0.0001}",0.25,0.25,0.75,0.5,0.25,0.4,0.2,1620,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.23124380111694337,0.05830105311537369,0.0006003856658935546,0.0004902129130140637,elasticnet,epsilon_insensitive,0.2,0.45,0.0004,"{'penalty': 'elasticnet', 'loss': 'epsilon_insensitive', 'l1_ratio': 0.2, 'epsilon': 0.45, 'alpha': 0.0004}",0.5,1.0,0.25,0.5,0.5,0.55,0.2449489742783178,671,0.5,0.4375,0.5,0.5625,0.8125,0.5625,0.13110110602126895
0,20,0.1386427879333496,0.012175098673051983,0.0008007049560546875,0.0004003526768040993,elasticnet,squared_loss,0.31,0.63,0.0001,"{'penalty': 'elasticnet', 'loss': 'squared_loss', 'l1_ratio': 0.31, 'epsilon': 0.63, 'alpha': 0.0001}",0.5,0.75,0.25,0.5,0.25,0.45,0.18708286933869708,1318,0.3125,0.625,0.375,0.4375,0.5625,0.4625,0.1159202311936963
0,20,0.1453998565673828,0.016181272893909044,0.00020031929016113282,0.0004006385803222656,l2,squared_epsilon_insensitive,0.83,0.54,0.0006,"{'penalty': 'l2', 'loss': 'squared_epsilon_insensitive', 'l1_ratio': 0.83, 'epsilon': 0.54, 'alpha': 0.0006}",0.5,0.25,0.0,0.25,1.0,0.4,0.3391164991562634,1620,0.3125,0.375,0.6875,0.6875,0.625,0.5375,0.16105123408406408
0,20,0.18899960517883302,0.057267307407495534,0.0008002758026123047,0.00040013938937739836,l2,epsilon_insensitive,0.84,0.53,0.0002,"{'penalty': 'l2', 'loss': 'epsilon_insensitive', 'l1_ratio': 0.84, 'epsilon': 0.53, 'alpha': 0.0002}",0.5,0.25,0.75,0.5,1.0,0.6,0.25495097567963926,456,0.5,0.4375,0.75,0.4375,0.5,0.525,0.1159202311936963
0,20,0.205399227142334,0.04374800376788968,0.0006003379821777344,0.0004901741263186511,l2,huber,0.29,0.09,0.0001,"{'penalty': 'l2', 'loss': 'huber', 'l1_ratio': 0.29, 'epsilon': 0.09, 'alpha': 0.0001}",0.5,0.75,0.75,0.5,1.0,0.7,0.18708286933869706,114,0.5,0.5625,0.75,0.4375,0.5,0.55,0.10752906583803283
0,20,0.2334000587463379,0.11787501291359796,0.0001998424530029297,0.0003996849060058594,elasticnet,huber,0.23,0.52,0.0001,"{'penalty': 'elasticnet', 'loss': 'huber', 'l1_ratio': 0.23, 'epsilon': 0.52, 'alpha': 0.0001}",0.5,0.25,0.25,0.5,0.25,0.35,0.1224744871391589,1800,0.4375,0.5,0.3125,0.4375,0.6875,0.475,0.1224744871391589
0,20,0.1877993106842041,0.019281004943795556,0.0006003856658935546,0.0004902134696053905,l2,modified_huber,0.68,0.84,0.0004,"{'penalty': 'l2', 'loss': 'modified_huber', 'l1_ratio': 0.68, 'epsilon': 0.84, 'alpha': 0.0004}",0.0,0.75,1.0,0.5,0.25,0.5,0.3535533905932738,955,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.19680042266845704,0.013436921527848502,0.0007997512817382813,0.0003998765790761381,l1,perceptron,0.96,0.69,0.0001,"{'penalty': 'l1', 'loss': 'perceptron', 'l1_ratio': 0.96, 'epsilon': 0.69, 'alpha': 0.0001}",0.5,0.5,0.75,0.5,0.0,0.45,0.24494897427831783,1318,1.0,1.0,1.0,1.0,1.0,1.0,0.0
