iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_penalty,param_loss,param_l1_ratio,param_epsilon,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,20,0.013998746871948242,0.004334900696697698,0.0004005908966064453,0.000490621790969868,elasticnet,squared_loss,0.52,0.03,0.0003,"{'penalty': 'elasticnet', 'loss': 'squared_loss', 'l1_ratio': 0.52, 'epsilon': 0.03, 'alpha': 0.0003}",0.25,0.0,0.5,0.5,0.5,0.35,0.2,1779,0.75,0.6875,0.5625,0.6875,0.5,0.6375,0.09185586535436918
0,20,0.017599964141845705,0.0075253551461227,0.0010004520416259765,8.714517060516867e-07,l2,hinge,0.99,0.52,0.0001,"{'penalty': 'l2', 'loss': 'hinge', 'l1_ratio': 0.99, 'epsilon': 0.52, 'alpha': 0.0001}",0.75,0.5,0.75,0.75,0.5,0.65,0.1224744871391589,423,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.012400436401367187,0.004715970857762885,0.0006001472473144531,0.0004900191112394508,l1,modified_huber,0.96,0.88,0.0006,"{'penalty': 'l1', 'loss': 'modified_huber', 'l1_ratio': 0.96, 'epsilon': 0.88, 'alpha': 0.0006}",0.75,0.0,0.75,0.75,0.75,0.6,0.30000000000000004,772,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.024999427795410156,0.011400242051237046,0.0,0.0,l2,perceptron,0.6,0.9,0.0001,"{'penalty': 'l2', 'loss': 'perceptron', 'l1_ratio': 0.6, 'epsilon': 0.9, 'alpha': 0.0001}",0.5,0.5,0.75,0.75,0.75,0.65,0.1224744871391589,423,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.041600513458251956,0.014291016370979053,0.0001998424530029297,0.0003996849060058594,l1,epsilon_insensitive,0.95,0.45,0.0008,"{'penalty': 'l1', 'loss': 'epsilon_insensitive', 'l1_ratio': 0.95, 'epsilon': 0.45, 'alpha': 0.0008}",0.75,1.0,0.75,0.25,0.75,0.7,0.2449489742783178,127,0.6875,0.5,0.5,0.3125,0.625,0.525,0.1286953767623375
0,20,0.03400044441223145,0.006228658579170942,0.00020041465759277344,0.0004008293151855469,elasticnet,hinge,0.69,0.45,0.0002,"{'penalty': 'elasticnet', 'loss': 'hinge', 'l1_ratio': 0.69, 'epsilon': 0.45, 'alpha': 0.0002}",0.75,0.75,0.75,0.75,0.75,0.75,0.0,34,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.04479966163635254,0.01873412435666811,0.0004004001617431641,0.0004903885140555605,elasticnet,epsilon_insensitive,0.52,0.12,0.0003,"{'penalty': 'elasticnet', 'loss': 'epsilon_insensitive', 'l1_ratio': 0.52, 'epsilon': 0.12, 'alpha': 0.0003}",0.5,1.0,0.75,0.25,0.5,0.6,0.25495097567963926,772,0.5,0.8125,0.625,0.3125,0.375,0.525,0.17940875118009156
0,20,0.029399824142456055,0.005816782751849627,0.0004001617431640625,0.000490096065864152,elasticnet,perceptron,0.93,0.45,0.0002,"{'penalty': 'elasticnet', 'loss': 'perceptron', 'l1_ratio': 0.93, 'epsilon': 0.45, 'alpha': 0.0002}",0.75,0.5,0.75,0.75,0.0,0.55,0.291547594742265,1116,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.03780088424682617,0.0055645065751483425,0.0004004955291748047,0.0004905051292965881,elasticnet,squared_hinge,0.63,0.13,0.0001,"{'penalty': 'elasticnet', 'loss': 'squared_hinge', 'l1_ratio': 0.63, 'epsilon': 0.13, 'alpha': 0.0001}",0.5,0.0,0.75,0.75,0.5,0.5,0.27386127875258304,1342,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.03079986572265625,0.008447085959390454,0.0003170013427734375,0.0004102469980110239,l2,squared_loss,0.2,0.53,0.0001,"{'penalty': 'l2', 'loss': 'squared_loss', 'l1_ratio': 0.2, 'epsilon': 0.53, 'alpha': 0.0001}",0.5,0.5,0.25,0.5,0.25,0.4,0.1224744871391589,1687,0.5625,0.625,0.5,0.5,0.5625,0.55,0.046770717334674264
