mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_loss,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.9283202648162843,0.08583860538959687,0.0358067512512207,0.0021301929569880495,0.0001,hinge,l2,"{'alpha': 0.0001, 'loss': 'hinge', 'penalty': 'l2'}",0.8644,0.8444,0.852,0.8554,0.864,0.8560399999999999,0.007556083641675734,2
4.137940406799316,0.15594607517255726,0.040999555587768556,0.0037414372872387395,0.0001,hinge,l1,"{'alpha': 0.0001, 'loss': 'hinge', 'penalty': 'l1'}",0.849,0.8454,0.8488,0.8504,0.8534,0.8493999999999999,0.002589208373229168,4
7.248025035858154,0.3873688188219222,0.03799934387207031,0.00209689771890909,0.0001,hinge,elasticnet,"{'alpha': 0.0001, 'loss': 'hinge', 'penalty': 'elasticnet'}",0.862,0.85,0.8534,0.8554,0.8638,0.85692,0.005210143951946048,1
3.436294984817505,0.1167804880816305,0.03719949722290039,0.0017204460639540016,0.0002,hinge,l2,"{'alpha': 0.0002, 'loss': 'hinge', 'penalty': 'l2'}",0.8586,0.841,0.844,0.847,0.8578,0.84968,0.007215095286966093,3
6.058161497116089,0.248051780974009,0.039199542999267575,0.0017199809204369852,0.0002,hinge,l1,"{'alpha': 0.0002, 'loss': 'hinge', 'penalty': 'l1'}",0.83,0.83,0.8248,0.8234,0.8326,0.8281599999999999,0.003476550014022514,7
6.407753944396973,0.35900127483725336,0.041000747680664064,0.007616147792458545,0.0002,hinge,elasticnet,"{'alpha': 0.0002, 'loss': 'hinge', 'penalty': 'elasticnet'}",0.8514,0.8434,0.8386,0.8414,0.8506,0.84508,0.0050748004886891915,5
3.2186760902404785,0.14149804844876912,0.03940105438232422,0.004029208944574449,0.0003,hinge,l2,"{'alpha': 0.0003, 'loss': 'hinge', 'penalty': 'l2'}",0.85,0.83,0.8374,0.8398,0.8506,0.84156,0.0078357131136866,6
6.456027984619141,0.28875950195197725,0.0347994327545166,0.004957852967651116,0.0003,hinge,l1,"{'alpha': 0.0003, 'loss': 'hinge', 'penalty': 'l1'}",0.809,0.8014,0.7988,0.8018,0.8124,0.8046800000000001,0.005135912771844969,10
5.769702577590943,0.140577628228955,0.03520021438598633,0.009622147764530247,0.0003,hinge,elasticnet,"{'alpha': 0.0003, 'loss': 'hinge', 'penalty': 'elasticnet'}",0.8282,0.819,0.8172,0.8244,0.8384,0.8254400000000001,0.007563491257349362,8
2.910057544708252,0.18379826812157607,0.03679909706115723,0.002314205757338359,0.0005,hinge,l2,"{'alpha': 0.0005, 'loss': 'hinge', 'penalty': 'l2'}",0.822,0.8044,0.8028,0.8148,0.8238,0.8135600000000001,0.008686909692174767,9
5.547486782073975,0.1777651493335167,0.01900181770324707,0.006840515464125474,0.0005,hinge,l1,"{'alpha': 0.0005, 'loss': 'hinge', 'penalty': 'l1'}",0.7674,0.764,0.7508,0.7652,0.7756,0.7646,0.007999999999999978,12
3.619649076461792,0.3309146040124062,0.009001493453979492,0.004691234976708724,0.0005,hinge,elasticnet,"{'alpha': 0.0005, 'loss': 'hinge', 'penalty': 'elasticnet'}",0.7846,0.7782,0.7658,0.7864,0.7938,0.78176,0.009401616882217625,11
