mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_loss,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.373002815246582,0.026831388040014708,0.005199337005615234,0.0007473985166397588,0.0001,hinge,l2,"{'alpha': 0.0001, 'loss': 'hinge', 'penalty': 'l2'}",0.8598,0.8308,0.8442,0.8452,0.8596,0.84792,0.010880147057829706,7
0.5298024654388428,0.024284475986101256,0.0046001911163330075,0.0004900967153754557,0.0001,hinge,l1,"{'alpha': 0.0001, 'loss': 'hinge', 'penalty': 'l1'}",0.8562,0.8522,0.8468,0.8564,0.863,0.8549199999999999,0.005337564987894764,2
0.8702001094818115,0.0563893858870082,0.004399538040161133,0.0004900768677770249,0.0001,hinge,elasticnet,"{'alpha': 0.0001, 'loss': 'hinge', 'penalty': 'elasticnet'}",0.8608,0.8392,0.851,0.854,0.8652,0.85404,0.008941051392314006,3
0.32979907989501955,0.01468875971281603,0.004000043869018555,5.135693366178994e-07,0.0002,hinge,l2,"{'alpha': 0.0002, 'loss': 'hinge', 'penalty': 'l2'}",0.8592,0.8396,0.8464,0.8538,0.8622,0.8522399999999999,0.008293997829756143,5
0.464600133895874,0.03986318478096761,0.004600095748901367,0.0004889491893914995,0.0002,hinge,l1,"{'alpha': 0.0002, 'loss': 'hinge', 'penalty': 'l1'}",0.8452,0.8428,0.8402,0.8434,0.8496,0.8442399999999999,0.0031225630498038157,9
0.7368372917175293,0.036046494009726655,0.00539865493774414,0.0014975435967347632,0.0002,hinge,elasticnet,"{'alpha': 0.0002, 'loss': 'hinge', 'penalty': 'elasticnet'}",0.8598,0.8512,0.8524,0.8548,0.8628,0.8562,0.0044253813395005925,1
0.3057987213134766,0.013466461839976329,0.004600715637207031,0.0004896484592237765,0.0003,hinge,l2,"{'alpha': 0.0003, 'loss': 'hinge', 'penalty': 'l2'}",0.8616,0.8448,0.8482,0.8506,0.8612,0.85328,0.006882557664124586,4
0.47063446044921875,0.03018280364816532,0.004799413681030274,0.0007481508060201943,0.0003,hinge,l1,"{'alpha': 0.0003, 'loss': 'hinge', 'penalty': 'l1'}",0.8314,0.834,0.8264,0.8288,0.8348,0.83108,0.003148586984664695,11
0.7070462703704834,0.0352322701952684,0.005199146270751953,0.0021346133542298877,0.0003,hinge,elasticnet,"{'alpha': 0.0003, 'loss': 'hinge', 'penalty': 'elasticnet'}",0.8562,0.8476,0.8468,0.85,0.8576,0.8516400000000001,0.004444142211945967,6
0.29822735786437987,0.03674908946012411,0.004799890518188477,0.0003999712072671187,0.0005,hinge,l2,"{'alpha': 0.0005, 'loss': 'hinge', 'penalty': 'l2'}",0.8552,0.8408,0.8402,0.843,0.854,0.8466400000000001,0.006576807736280574,8
0.45639891624450685,0.035079954314187756,0.004601907730102539,0.0016255675914886598,0.0005,hinge,l1,"{'alpha': 0.0005, 'loss': 'hinge', 'penalty': 'l1'}",0.8092,0.8046,0.7998,0.8058,0.8126,0.8064,0.004322961947554032,12
0.5087960720062256,0.039199120242332984,0.001600933074951172,0.0004906218604858363,0.0005,hinge,elasticnet,"{'alpha': 0.0005, 'loss': 'hinge', 'penalty': 'elasticnet'}",0.846,0.838,0.8364,0.838,0.8474,0.84116,0.0045824011173183085,10
