ast_cost_of_path,ast_max_ram_usage,ast_max_search_depth,ast_nodes_expanded,ast_running_time,ast_search_depth,bfs_cost_of_path,bfs_max_ram_usage,bfs_max_search_depth,bfs_nodes_expanded,bfs_path_to_goal,bfs_running_time,bfs_search_depth,dfs_cost_of_path,dfs_max_ram_usage,dfs_max_search_depth,dfs_nodes_expanded,dfs_running_time,dfs_search_depth,grid,i
9,0.002471923828125,13,22,0.001998424530029297,9,9,0.0341339111328125,10,486,RULLDRUUL,0.007999181747436523,9,59003,4.313568115234375,59003,71791,1.4539985656738281,59003,"1,4,2,7,5,8,3,0,6",0
9,0.002471923828125,13,22,0.001998424530029297,9,9,0.0341339111328125,10,486,RULLDRUUL,0.007999181747436523,9,59003,4.313568115234375,59003,71791,1.4539985656738281,59003,"1,4,2,7,5,8,3,0,6",0
1,0.00035858154296875,1,1,0.0,1,1,0.0008697509765625,1,1,U,0.0,1,1,0.0008697509765625,1,1,0.0,1,"3,1,2,0,4,5,6,7,8",1
1,0.00035858154296875,1,1,0.0,1,1,0.0008697509765625,1,1,U,0.0,1,1,0.0008697509765625,1,1,0.0,1,"3,1,2,0,4,5,6,7,8",1
73,0.00926971435546875,73,199,0.056001901626586914,73,21,4.1710662841796875,22,78415,LLDRURDLLUURDLDRURULL,1.6199991703033447,21,395,0.034637451171875,395,404,0.00699925422668457,395,"7,1,5,8,2,0,3,6,4",2
73,0.00926971435546875,73,199,0.056001901626586914,73,21,4.1710662841796875,22,78415,LLDRURDLLUURDLDRURULL,1.6199991703033447,21,395,0.034637451171875,395,404,0.00699925422668457,395,"7,1,5,8,2,0,3,6,4",2
136,0.03363037109375,136,375,0.18800067901611328,136,24,4.1902008056640625,25,134620,LULURDDLURRDLURULDRDLLUU,2.8009984493255615,24,466,0.0351409912109375,466,479,0.011998414993286133,466,"7,3,4,2,6,8,5,1,0",3
136,0.03363037109375,136,375,0.18800067901611328,136,24,4.1902008056640625,25,134620,LULURDDLURRDLURULDRDLLUU,2.8009984493255615,24,466,0.0351409912109375,466,479,0.011998414993286133,466,"7,3,4,2,6,8,5,1,0",3
148,0.03363037109375,148,380,0.18699884414672852,148,26,8.087982177734375,27,171711,LURDDLURRULLDRRDLURULDDLUU,3.539998769760132,26,62140,4.3382415771484375,66122,114207,2.231999158859253,62140,"7,2,4,5,0,6,8,3,1",4
148,0.03363037109375,148,380,0.18699884414672852,148,26,8.087982177734375,27,171711,LURDDLURRULLDRRDLURULDDLUU,3.539998769760132,26,62140,4.3382415771484375,66122,114207,2.231999158859253,62140,"7,2,4,5,0,6,8,3,1",4
70,0.00910186767578125,70,172,0.04200005531311035,70,22,4.189697265625,23,85629,ULLDRURDLUULDDRURDLUUL,2.0095155239105225,22,1470,0.1349334716796875,1470,1510,0.02599811553955078,1470,"4,8,2,5,6,7,1,3,0",5
70,0.00910186767578125,70,172,0.04200005531311035,70,22,4.189697265625,23,85629,ULLDRURDLUULDDRURDLUUL,2.0095155239105225,22,1470,0.1349334716796875,1470,1510,0.02599811553955078,1470,"4,8,2,5,6,7,1,3,0",5
142,0.03363037109375,142,369,0.17100071907043457,142,22,4.189697265625,23,73801,UULDLURDDLURRDLLURRULL,1.4919991493225098,22,2050,0.1389617919921875,2050,2106,0.03699994087219238,2050,"7,5,3,2,1,4,8,6,0",6
142,0.03363037109375,142,369,0.17100071907043457,142,22,4.189697265625,23,73801,UULDLURDDLURRDLLURRULL,1.4919991493225098,22,2050,0.1389617919921875,2050,2106,0.03699994087219238,2050,"7,5,3,2,1,4,8,6,0",6
123,0.03427886962890625,136,460,0.2630019187927246,123,25,4.198760986328125,26,153399,DLULDRULURDDLURRULLDDRUUL,3.127000093460083,25,2205,0.1399688720703125,2205,2267,0.04700136184692383,2205,"3,4,5,1,6,0,2,8,7",7
123,0.03427886962890625,136,460,0.2630019187927246,123,25,4.198760986328125,26,153399,DLULDRULURDDLURRULLDDRUUL,3.127000093460083,25,2205,0.1399688720703125,2205,2267,0.04700136184692383,2205,"3,4,5,1,6,0,2,8,7",7
66,0.00926971435546875,66,184,0.05000114440917969,66,22,4.1972503662109375,23,81888,ULDDRUULDRURDDLUURDLUL,1.7320001125335693,22,2380,0.1409759521484375,2380,2448,0.09499740600585938,2380,"3,8,5,7,0,4,1,6,2",8
66,0.00926971435546875,66,184,0.05000114440917969,66,22,4.1972503662109375,23,81888,ULDDRUULDRURDDLUURDLUL,1.7320001125335693,22,2380,0.1409759521484375,2380,2448,0.09499740600585938,2380,"3,8,5,7,0,4,1,6,2",8
101,0.03363037109375,118,382,0.19200372695922852,101,19,2.1171875,20,42101,RULLURRDLLURRDLDLUU,0.9060006141662598,19,2507,0.1414794921875,2507,2576,0.04399895668029785,2507,"5,6,3,2,1,8,7,0,4",9
101,0.03363037109375,118,382,0.19200372695922852,101,19,2.1171875,20,42101,RULLURRDLLURRDLDLUU,0.9060006141662598,19,2507,0.1414794921875,2507,2576,0.04399895668029785,2507,"5,6,3,2,1,8,7,0,4",9
78,0.03363037109375,89,387,0.17300033569335938,78,24,4.19775390625,25,128992,ULDRURDDLLUURRDDLURDLLUU,2.5939979553222656,24,2692,0.1429901123046875,2692,2768,0.04799962043762207,2692,"8,7,3,6,0,1,5,4,2",10
78,0.03363037109375,89,387,0.17300033569335938,78,24,4.19775390625,25,128992,ULDRURDDLLUURRDDLURDLLUU,2.5939979553222656,24,2692,0.1429901123046875,2692,2768,0.04799962043762207,2692,"8,7,3,6,0,1,5,4,2",10
