,Column Labels,,,,,,,,,,,,,,,,,,,21494.66667,40.00290958,4.937382115,,,,,RAM,RAM,RAM,Path Cost,Path Cost,Path Cost,Max Depth,Max Depth,Max Depth,Search Depth,Search Depth,Search Depth,Expanded Nodes,Expanded Nodes,Expanded Nodes
,Run Time,,,Path Cost,,,Max Depth,,,Search Depth,,,Expanded Nodes,,,RAM,,,,8103.666667,47.13163519,4.863846145,Starting Grid,A*,BFS,DFS,A*,BFS,DFS,A*,BFS,DFS,A*,BFS,DFS,A*,BFS,DFS,A*,BFS,DFS
Row Labels,ast,bfs,dfs,ast,bfs,dfs,ast,bfs,dfs,ast,bfs,dfs,ast,bfs,dfs,ast,bfs,dfs,,14853.33333,32.03324485,3.489631066,45812763,109.0007615,7.530999899,3.476967335,0.536712646,8.075897217,4.333206177,28,28,64428,28,29,64438,28,28,64428,8873,179427,85402
12584637,0.6420,2.1662,6.1100,20,20,"48,118",20,21,"65,982",20,20,"48,118",646,"54,310","137,356",0.03,2.14,4.34,,21873,22.39404631,2.80417983,806547231,127.6856198,7.672285318,6.037000418,0.546485901,8.073379517,8.239044189,31,31,24249,31,31,66123,31,31,24249,11059,181439,161478
12756483,1.4150,3.2185,2.5790,22,22,"51,738",22,23,"51,738",22,22,"51,738",762,"74,157","59,564",0.04,4.19,4.28,,39244.66667,12.22606826,2.786707173,85432761,83.09352493,7.73369956,5.272510052,0.536712646,8.075897217,4.337738037,28,28,44504,28,29,65982,28,28,44504,8639,178935,141711
14286357,1.3870,3.9636,3.9180,22,22,"65,640",22,23,"65,724",22,22,"65,640",828,"92,319","92,085",0.04,4.19,4.34,,19866.33333,21.21225373,2.517159234,213856704,56.25010586,7.19303298,3.739000082,0.525764465,8.073379517,4.336730957,27,27,65565,27,28,65602,27,27,65565,5605,178316,92331
14586372,0.0350,0.9330,2.1050,18,18,"45,250",18,19,"45,250",18,18,"45,250",102,"25,106","50,296",0.01,2.08,2.26,,21962.66667,19.71144581,2.481467237,816045273,16.21651149,14.52069402,5.940999269,0.269989014,16.14373779,8.628143311,54,54,117626,54,56,117626,54,54,117626,4334,350672,142056
14657832,0.0090,0.3400,4.3410,16,16,"65,468",16,17,"65,469",16,16,"65,468",39,"9,892","89,846",0.00,0.54,4.34,,22007.33333,18.90625564,2.385860907,874650213,53.1654942,7.286266327,3.185000658,0.525764465,8.071868896,4.316085815,29,29,59541,29,30,59541,29,29,59541,5481,180649,72860
15748623,1.6650,3.2190,4.3310,22,22,"63,710",22,23,"65,982",22,22,"63,710",935,"77,804","110,487",0.13,4.19,4.34,,21985.33333,18.8582534,2.378415298,678435012,47.81980157,7.34553647,3.968999386,0.528991699,8.075897217,4.337738037,28,28,65832,28,29,65982,28,28,65832,6478,179819,99982
16273854,6.3950,6.3924,3.2975,26,26,"61,410",26,27,"61,410",26,26,"61,410","1,890","161,881","76,970",0.13,4.19,4.32,,21213.66667,17.89226516,2.205294671,521607843,45.67901993,6.938747644,4.100999355,0.520339966,8.088485718,4.338241577,26,26,65970,26,27,66071,26,26,65970,4714,166905,97108
17286453,1.3870,5.8275,2.3440,24,24,"49,318",24,25,"49,318",24,24,"49,318",832,"133,647","55,821",0.04,4.19,4.27,,21431,16.56573375,2.057961648,826501743,44.8404336,7.285326958,4.448999643,0.522895813,8.088485718,4.338241577,28,28,65900,28,29,65957,28,28,65900,5406,179432,94925
17854263,0.4620,5.1205,5.4090,24,24,"45,948",24,25,"65,982",24,24,"45,948",512,"132,507","140,093",0.03,4.19,4.34,,19323.33333,16.44882067,1.894414126,436815702,42.37061501,7.028181314,4.277999163,0.520339966,8.073379517,4.338241577,27,27,63587,27,28,66123,27,27,63587,4749,174831,110769
18264573,2.0130,5.3850,4.6960,24,24,"57,024",24,25,"65,982",24,24,"57,024","1,244","131,368","124,307",0.13,4.19,4.34,,15368.66667,16.87586554,1.666837779,346015827,38.28487611,7.087325573,4.324999571,0.522895813,8.071868896,4.338745117,27,27,64239,27,28,66056,27,27,64239,5279,173926,107417
21865437,1.8966,3.8850,2.9300,22,22,"57,176",22,23,"57,176",22,22,"57,176","1,071","89,557","68,207",0.13,4.19,4.31,,22027,12.67452153,1.622839565,856704312,38.76850128,7.613961697,2.963999033,0.522895813,8.088485718,4.309539795,28,28,57914,28,29,57914,28,28,57914,5258,180270,69575
